requirement_id,site_id,stakeholder_group,decision_need,reporting_cadence,tool_target,source_system,priority,acceptance_criteria,status,site_name,market,delivery_risk_score
REQ-0058,SITE-020,Site coordinators,Daily attendance exception list,Weekly,Excel,Google Sheets intake,P0,Matches source totals within 1 percent,Backlog,Upper Manhattan Youth Hub 5,Upper Manhattan,81.9
REQ-0054,SITE-018,Program directors,Weekly site action queue,Weekly,Tableau,Google Sheets intake,P0,"Filters by market, program model, and school level",Backlog,Upper Manhattan Youth Hub 3,Upper Manhattan,81.6
REQ-0032,SITE-011,Executive leadership,Monthly value scorecard,Monthly,Power BI,PowerSchool export,P0,"Includes owner, due date, and exception reason",Backlog,Northern Queens Youth Hub 1,Northern Queens,81.4
REQ-0057,SITE-019,Program directors,Weekly site action queue,Monthly,Tableau,Google Sheets intake,P0,Matches source totals within 1 percent,Backlog,Upper Manhattan Youth Hub 4,Upper Manhattan,81.3
REQ-0001,SITE-001,Program directors,Weekly site action queue,Daily,Tableau,Salesforce + DOE extract,P0,Matches source totals within 1 percent,Backlog,South Bronx Youth Hub 1,South Bronx,80.6
REQ-0035,SITE-012,Executive leadership,Monthly value scorecard,Biweekly,Power BI,PowerSchool export,P0,Matches source totals within 1 percent,Backlog,Northern Queens Youth Hub 2,Northern Queens,80.4
REQ-0073,SITE-025,Executive leadership,Monthly value scorecard,Biweekly,Power BI,Excel tracker,P0,"Filters by market, program model, and school level",Backlog,Staten Island Youth Hub 5,Staten Island,80.4
REQ-0008,SITE-003,Executive leadership,Monthly value scorecard,Monthly,Power BI,Salesforce + DOE extract,P0,Exports cleanly for leadership readout,In build,South Bronx Youth Hub 3,South Bronx,73.8
REQ-0070,SITE-024,Partnerships,Launch readiness and partner reporting,Daily,Power BI,Excel tracker,P0,Exports cleanly for leadership readout,In build,Staten Island Youth Hub 4,Staten Island,72.6
REQ-0072,SITE-024,Site coordinators,Daily attendance exception list,Weekly,Excel,Excel tracker,P0,"Filters by market, program model, and school level",In build,Staten Island Youth Hub 4,Staten Island,72.6
REQ-0011,SITE-004,Site coordinators,Daily attendance exception list,Monthly,Excel,Salesforce + DOE extract,P0,Matches source totals within 1 percent,In build,South Bronx Youth Hub 4,South Bronx,72.5
REQ-0012,SITE-004,Partnerships,Launch readiness and partner reporting,Monthly,Power BI,Salesforce + DOE extract,P0,"Filters by market, program model, and school level",In build,South Bronx Youth Hub 4,South Bronx,72.5
REQ-0060,SITE-020,Program directors,Weekly site action queue,Daily,Tableau,Google Sheets intake,P1,"Includes owner, due date, and exception reason",Backlog,Upper Manhattan Youth Hub 5,Upper Manhattan,68.9
REQ-0016,SITE-006,Finance partners,Budget variance and value realization,Daily,SQL mart,Airtable + SIS export,P1,Matches source totals within 1 percent,Backlog,Central Brooklyn Youth Hub 1,Central Brooklyn,68.7
