entity_id,entity_name,segment,priority_score,avg_risk_score,avg_quality_score,estimated_impact
PRO030,Program initiative 30,Strategic,106.11,47.3,82.2,995473
PRO019,Program initiative 19,Growth,90.13,46.6,80.4,769518
PRO022,Program initiative 22,Strategic,89.08,48.3,79.0,733443
PRO036,Program initiative 36,Core,88.75,52.8,81.7,701899
PRO028,Program initiative 28,Growth,88.46,49.1,81.0,727370
PRO021,Program initiative 21,Watch,88.13,55.5,81.8,670208
PRO007,Program initiative 7,Growth,87.87,53.0,80.4,682492
PRO001,Program initiative 1,Watch,83.77,52.4,80.6,631303
PRO020,Program initiative 20,Strategic,82.83,52.8,80.4,613648
PRO023,Program initiative 23,Growth,82.11,50.7,79.2,616660
PRO034,Program initiative 34,Strategic,81.96,50.3,79.6,619757
PRO012,Program initiative 12,Strategic,81.67,53.7,80.9,591341
PRO008,Program initiative 8,Watch,81.08,51.5,79.7,597377
PRO013,Program initiative 13,Core,80.74,49.6,78.9,605569
PRO002,Program initiative 2,Growth,78.68,50.5,81.0,577595
PRO005,Program initiative 5,Strategic,78.38,53.3,81.1,550258
PRO018,Program initiative 18,Watch,78.29,49.9,79.4,570916
PRO024,Program initiative 24,Core,77.57,48.0,79.5,577697
PRO032,Program initiative 32,Strategic,76.81,53.5,81.3,527572
PRO006,Program initiative 6,Strategic,76.66,54.8,79.5,505791
PRO026,Program initiative 26,Watch,76.42,52.5,80.2,525629
PRO033,Program initiative 33,Core,76.05,49.0,79.9,549689
PRO027,Program initiative 27,Watch,74.82,54.5,78.9,479903
PRO010,Program initiative 10,Growth,74.77,53.1,79.1,492501
PRO017,Program initiative 17,Strategic,72.31,52.9,79.7,462222
