action_id,entity_id,action_type,effort_hours,expected_lift_pct,status
ACT0001,PRO003,automate,11,19.8,In Review
ACT0002,PRO008,prioritize,2,11.0,In Review
ACT0003,PRO004,validate,23,8.6,Proposed
ACT0004,PRO035,validate,37,22.1,In Review
ACT0005,PRO030,monitor,7,6.4,Proposed
ACT0006,PRO034,monitor,14,17.9,Complete
ACT0007,PRO024,automate,35,3.8,Complete
ACT0008,PRO035,escalate,27,3.2,In Review
ACT0009,PRO013,automate,40,18.1,Proposed
ACT0010,PRO017,escalate,3,21.2,Proposed
ACT0011,PRO036,prioritize,3,15.0,Complete
ACT0012,PRO033,monitor,22,15.6,Ready
ACT0013,PRO027,document,33,15.6,Complete
ACT0014,PRO022,monitor,6,4.5,Complete
ACT0015,PRO010,escalate,36,7.4,In Review
ACT0016,PRO020,validate,42,22.5,Proposed
ACT0017,PRO029,escalate,36,17.2,Proposed
ACT0018,PRO028,automate,22,10.7,Proposed
ACT0019,PRO012,monitor,38,5.5,Ready
ACT0020,PRO028,validate,26,3.8,Ready
ACT0021,PRO005,document,39,21.4,In Review
ACT0022,PRO025,validate,3,3.0,Ready
ACT0023,PRO031,monitor,20,22.0,Ready
ACT0024,PRO006,monitor,28,14.4,In Review
ACT0025,PRO036,document,36,6.8,Ready
ACT0026,PRO027,prioritize,8,9.7,Complete
ACT0027,PRO011,automate,7,10.1,Proposed
ACT0028,PRO014,escalate,41,19.2,Ready
ACT0029,PRO022,escalate,20,4.3,Ready
ACT0030,PRO025,document,41,5.3,Ready
ACT0031,PRO017,validate,36,4.4,Ready
ACT0032,PRO016,automate,13,12.6,In Review
ACT0033,PRO012,automate,33,22.2,Complete
ACT0034,PRO007,monitor,35,16.7,Complete
ACT0035,PRO021,document,39,3.1,In Review
ACT0036,PRO001,document,21,13.3,Ready
ACT0037,PRO010,escalate,17,10.6,In Review
ACT0038,PRO021,escalate,26,3.9,Ready
ACT0039,PRO025,automate,33,8.7,Complete
ACT0040,PRO017,automate,12,15.6,Proposed
ACT0041,PRO029,prioritize,3,5.9,Complete
ACT0042,PRO008,prioritize,12,16.0,Proposed
ACT0043,PRO016,monitor,25,11.6,In Review
ACT0044,PRO028,monitor,30,2.6,Proposed
ACT0045,PRO016,validate,17,15.1,Proposed
ACT0046,PRO006,prioritize,14,7.1,Complete
ACT0047,PRO035,document,21,14.8,Ready
ACT0048,PRO020,document,4,4.7,Ready
ACT0049,PRO033,escalate,2,12.8,In Review
ACT0050,PRO012,monitor,2,22.3,In Review
ACT0051,PRO025,automate,36,5.0,Complete
ACT0052,PRO025,escalate,20,12.5,Ready
ACT0053,PRO015,escalate,17,16.2,Complete
ACT0054,PRO022,validate,13,15.6,Complete
ACT0055,PRO020,prioritize,5,22.8,In Review
ACT0056,PRO032,validate,31,23.0,Proposed
ACT0057,PRO004,validate,4,8.1,Proposed
ACT0058,PRO028,validate,31,23.2,Complete
ACT0059,PRO011,validate,32,6.9,Complete
ACT0060,PRO007,automate,30,17.8,Complete
ACT0061,PRO030,validate,39,11.2,Ready
ACT0062,PRO034,document,13,7.3,Complete
ACT0063,PRO018,prioritize,42,16.2,Ready
ACT0064,PRO020,document,11,9.4,Ready
ACT0065,PRO010,monitor,22,9.2,Complete
ACT0066,PRO032,escalate,31,16.8,Proposed
ACT0067,PRO001,document,11,9.1,Ready
ACT0068,PRO013,validate,3,9.7,Proposed
ACT0069,PRO002,monitor,3,6.3,In Review
ACT0070,PRO023,monitor,3,15.9,Complete
ACT0071,PRO010,document,35,14.8,Complete
ACT0072,PRO011,prioritize,14,22.8,In Review
ACT0073,PRO026,validate,20,18.8,Ready
ACT0074,PRO009,monitor,29,11.2,Proposed
ACT0075,PRO021,monitor,42,19.8,In Review
ACT0076,PRO019,escalate,39,15.8,Proposed
ACT0077,PRO006,prioritize,24,16.7,Proposed
ACT0078,PRO009,escalate,9,19.4,Proposed
ACT0079,PRO007,automate,28,18.8,Complete
ACT0080,PRO028,validate,33,2.3,In Review
ACT0081,PRO018,document,15,14.9,In Review
ACT0082,PRO015,escalate,15,9.5,Proposed
ACT0083,PRO034,validate,12,3.4,In Review
ACT0084,PRO020,prioritize,6,5.9,Proposed
ACT0085,PRO001,automate,17,13.3,Complete
ACT0086,PRO005,prioritize,28,10.5,Complete
ACT0087,PRO027,prioritize,20,20.6,Ready
ACT0088,PRO005,monitor,14,5.3,Complete
ACT0089,PRO033,prioritize,17,19.1,Ready
ACT0090,PRO004,monitor,11,24.0,Complete
ACT0091,PRO007,prioritize,28,18.4,Proposed
ACT0092,PRO025,prioritize,3,12.7,In Review
ACT0093,PRO029,automate,19,13.8,Ready
ACT0094,PRO008,monitor,34,8.8,Complete
ACT0095,PRO031,validate,40,17.3,Proposed
ACT0096,PRO022,escalate,15,2.6,Proposed
ACT0097,PRO013,monitor,30,23.3,Ready
ACT0098,PRO001,validate,25,8.3,Ready
ACT0099,PRO014,automate,22,6.3,Proposed
ACT0100,PRO035,validate,26,7.6,Complete
ACT0101,PRO024,automate,34,9.5,In Review
ACT0102,PRO033,validate,40,13.0,Complete
ACT0103,PRO019,automate,28,3.5,Complete
ACT0104,PRO012,automate,27,21.3,Complete
ACT0105,PRO021,automate,14,16.6,Ready
ACT0106,PRO010,escalate,42,17.2,Complete
ACT0107,PRO001,prioritize,7,20.6,In Review
ACT0108,PRO003,document,14,13.8,Ready
ACT0109,PRO036,monitor,40,15.8,Complete
ACT0110,PRO032,validate,27,4.3,Ready
ACT0111,PRO028,automate,20,8.5,Proposed
ACT0112,PRO028,validate,14,19.1,In Review
ACT0113,PRO006,escalate,7,2.8,Ready
ACT0114,PRO008,validate,26,21.2,Proposed
ACT0115,PRO017,monitor,7,18.0,Complete
ACT0116,PRO032,automate,19,17.0,Proposed
ACT0117,PRO026,monitor,31,23.4,In Review
ACT0118,PRO004,escalate,11,23.5,Complete
ACT0119,PRO007,monitor,13,3.9,Complete
ACT0120,PRO033,validate,32,18.9,Ready
ACT0121,PRO009,escalate,19,8.3,Complete
ACT0122,PRO002,monitor,42,13.5,Ready
ACT0123,PRO010,document,43,2.4,Complete
ACT0124,PRO023,validate,11,4.5,Complete
ACT0125,PRO002,validate,9,7.7,Complete
ACT0126,PRO030,prioritize,17,11.1,Proposed
ACT0127,PRO006,monitor,8,9.5,Ready
ACT0128,PRO024,monitor,21,18.9,Proposed
ACT0129,PRO031,monitor,16,13.8,Complete
ACT0130,PRO027,monitor,15,14.3,Complete
ACT0131,PRO036,document,4,16.6,Proposed
ACT0132,PRO014,monitor,11,22.0,Complete
ACT0133,PRO020,escalate,9,14.8,Proposed
ACT0134,PRO029,prioritize,29,8.5,In Review
ACT0135,PRO006,escalate,25,3.4,In Review
ACT0136,PRO007,prioritize,19,9.2,Proposed
ACT0137,PRO005,prioritize,11,9.3,Ready
ACT0138,PRO030,automate,17,15.9,Proposed
ACT0139,PRO007,prioritize,39,3.4,Proposed
ACT0140,PRO014,prioritize,25,6.2,In Review
ACT0141,PRO014,monitor,33,19.3,In Review
ACT0142,PRO007,automate,8,12.2,Proposed
ACT0143,PRO025,prioritize,12,9.2,In Review
ACT0144,PRO020,prioritize,37,5.6,Proposed
ACT0145,PRO007,document,27,17.0,Proposed
ACT0146,PRO013,automate,39,22.4,Ready
ACT0147,PRO036,escalate,36,19.8,Ready
ACT0148,PRO026,document,14,9.2,Complete
ACT0149,PRO005,prioritize,17,13.6,Complete
ACT0150,PRO036,automate,18,12.2,Proposed
ACT0151,PRO003,automate,4,8.4,In Review
ACT0152,PRO001,document,28,13.4,Proposed
ACT0153,PRO007,monitor,8,16.0,Proposed
ACT0154,PRO033,escalate,26,9.0,Proposed
ACT0155,PRO022,escalate,36,12.9,Proposed
ACT0156,PRO024,escalate,2,23.0,Ready
ACT0157,PRO020,validate,44,22.0,Complete
ACT0158,PRO009,prioritize,36,14.1,Complete
ACT0159,PRO005,validate,17,8.4,In Review
ACT0160,PRO036,validate,23,9.6,In Review
ACT0161,PRO024,escalate,16,12.9,Ready
ACT0162,PRO023,prioritize,36,18.9,Proposed
ACT0163,PRO016,prioritize,35,15.0,Ready
ACT0164,PRO022,document,12,19.8,In Review
ACT0165,PRO004,prioritize,3,16.8,Ready
ACT0166,PRO012,document,44,3.6,Proposed
ACT0167,PRO018,escalate,30,2.1,In Review
ACT0168,PRO011,validate,15,8.5,Ready
ACT0169,PRO009,monitor,4,12.7,Proposed
ACT0170,PRO014,document,28,4.5,Proposed
ACT0171,PRO014,prioritize,4,10.0,Proposed
ACT0172,PRO016,prioritize,5,10.0,In Review
ACT0173,PRO012,prioritize,38,23.5,Proposed
ACT0174,PRO015,automate,11,4.0,In Review
ACT0175,PRO033,validate,26,16.0,In Review
ACT0176,PRO007,prioritize,19,12.9,In Review
ACT0177,PRO023,prioritize,35,4.4,Proposed
ACT0178,PRO030,automate,20,4.7,In Review
ACT0179,PRO021,prioritize,9,21.2,Ready
ACT0180,PRO020,automate,38,8.2,In Review
ACT0181,PRO032,monitor,16,17.3,Proposed
ACT0182,PRO033,validate,34,10.3,Complete
ACT0183,PRO012,automate,40,6.6,Proposed
ACT0184,PRO001,document,6,6.0,Complete
ACT0185,PRO035,escalate,38,22.6,In Review
ACT0186,PRO030,automate,17,20.8,Complete
ACT0187,PRO005,prioritize,10,2.9,Proposed
ACT0188,PRO020,prioritize,38,17.4,Proposed
ACT0189,PRO027,monitor,11,9.0,Ready
ACT0190,PRO036,validate,28,17.1,Ready
ACT0191,PRO022,monitor,21,22.0,Proposed
ACT0192,PRO007,validate,9,4.8,Ready
ACT0193,PRO014,monitor,19,3.6,Complete
ACT0194,PRO022,monitor,4,10.1,In Review
ACT0195,PRO025,document,3,18.5,Complete
ACT0196,PRO007,prioritize,3,8.3,In Review
ACT0197,PRO025,prioritize,8,10.7,In Review
ACT0198,PRO006,document,42,9.6,Proposed
ACT0199,PRO016,prioritize,32,12.4,In Review
ACT0200,PRO031,validate,15,20.6,Complete
ACT0201,PRO001,prioritize,4,4.4,In Review
ACT0202,PRO009,document,42,17.9,Proposed
ACT0203,PRO024,monitor,15,3.1,Ready
ACT0204,PRO007,prioritize,38,5.3,Complete
ACT0205,PRO007,validate,28,13.9,Ready
ACT0206,PRO035,validate,41,5.9,In Review
ACT0207,PRO021,validate,9,16.3,Ready
ACT0208,PRO007,document,40,16.9,Ready
ACT0209,PRO007,automate,25,16.9,Ready
ACT0210,PRO036,validate,19,8.0,In Review
ACT0211,PRO019,document,21,10.4,Complete
ACT0212,PRO017,monitor,17,13.8,Complete
ACT0213,PRO021,automate,34,2.3,Ready
ACT0214,PRO023,document,12,17.7,In Review
ACT0215,PRO010,automate,32,18.4,Ready
ACT0216,PRO008,escalate,27,15.8,In Review
ACT0217,PRO002,document,11,13.9,In Review
ACT0218,PRO030,monitor,4,9.1,Proposed
ACT0219,PRO023,validate,3,21.6,In Review
ACT0220,PRO001,automate,37,9.8,Complete
