requirement_id,site_id,stakeholder_group,decision_need,reporting_cadence,tool_target,source_system,priority,acceptance_criteria,status
REQ-0001,SITE-001,Program directors,Weekly site action queue,Daily,Tableau,Salesforce + DOE extract,P0,Matches source totals within 1 percent,Backlog
REQ-0002,SITE-001,Site coordinators,Daily attendance exception list,Weekly,Excel,Salesforce + DOE extract,P0,Matches source totals within 1 percent,In review
REQ-0003,SITE-001,Partnerships,Launch readiness and partner reporting,Biweekly,Power BI,Salesforce + DOE extract,P2,Matches source totals within 1 percent,In build
REQ-0004,SITE-002,Executive leadership,Monthly value scorecard,Daily,Power BI,Salesforce + DOE extract,P2,"Includes owner, due date, and exception reason",Backlog
REQ-0005,SITE-002,Finance partners,Budget variance and value realization,Biweekly,SQL mart,Salesforce + DOE extract,P2,Matches source totals within 1 percent,In review
REQ-0006,SITE-002,Program directors,Weekly site action queue,Monthly,Tableau,Salesforce + DOE extract,P2,"Filters by market, program model, and school level",In build
REQ-0007,SITE-003,Program directors,Weekly site action queue,Weekly,Tableau,Salesforce + DOE extract,P1,"Filters by market, program model, and school level",In build
REQ-0008,SITE-003,Executive leadership,Monthly value scorecard,Monthly,Power BI,Salesforce + DOE extract,P0,Exports cleanly for leadership readout,In build
REQ-0009,SITE-003,Site coordinators,Daily attendance exception list,Weekly,Excel,Salesforce + DOE extract,P1,"Includes owner, due date, and exception reason",In review
REQ-0010,SITE-004,Finance partners,Budget variance and value realization,Monthly,SQL mart,Salesforce + DOE extract,P0,Matches source totals within 1 percent,Accepted
REQ-0011,SITE-004,Site coordinators,Daily attendance exception list,Monthly,Excel,Salesforce + DOE extract,P0,Matches source totals within 1 percent,In build
REQ-0012,SITE-004,Partnerships,Launch readiness and partner reporting,Monthly,Power BI,Salesforce + DOE extract,P0,"Filters by market, program model, and school level",In build
REQ-0013,SITE-005,Program directors,Weekly site action queue,Weekly,Tableau,Salesforce + DOE extract,P2,"Includes owner, due date, and exception reason",Accepted
REQ-0014,SITE-005,Executive leadership,Monthly value scorecard,Weekly,Power BI,Salesforce + DOE extract,P1,Exports cleanly for leadership readout,Backlog
REQ-0015,SITE-005,Site coordinators,Daily attendance exception list,Monthly,Excel,Salesforce + DOE extract,P1,"Filters by market, program model, and school level",Accepted
REQ-0016,SITE-006,Finance partners,Budget variance and value realization,Daily,SQL mart,Airtable + SIS export,P1,Matches source totals within 1 percent,Backlog
REQ-0017,SITE-006,Program directors,Weekly site action queue,Daily,Tableau,Airtable + SIS export,P0,"Filters by market, program model, and school level",Accepted
REQ-0018,SITE-006,Executive leadership,Monthly value scorecard,Weekly,Power BI,Airtable + SIS export,P1,"Includes owner, due date, and exception reason",Backlog
REQ-0019,SITE-007,Finance partners,Budget variance and value realization,Daily,SQL mart,Airtable + SIS export,P0,Matches source totals within 1 percent,In review
REQ-0020,SITE-007,Partnerships,Launch readiness and partner reporting,Weekly,Power BI,Airtable + SIS export,P0,Matches source totals within 1 percent,Accepted
REQ-0021,SITE-007,Executive leadership,Monthly value scorecard,Daily,Power BI,Airtable + SIS export,P1,Exports cleanly for leadership readout,In review
REQ-0022,SITE-008,Program directors,Weekly site action queue,Monthly,Tableau,Airtable + SIS export,P1,"Includes owner, due date, and exception reason",In review
REQ-0023,SITE-008,Site coordinators,Daily attendance exception list,Weekly,Excel,Airtable + SIS export,P1,Exports cleanly for leadership readout,Accepted
REQ-0024,SITE-008,Partnerships,Launch readiness and partner reporting,Biweekly,Power BI,Airtable + SIS export,P1,Matches source totals within 1 percent,Backlog
REQ-0025,SITE-009,Site coordinators,Daily attendance exception list,Monthly,Excel,Airtable + SIS export,P1,"Filters by market, program model, and school level",In review
REQ-0026,SITE-009,Finance partners,Budget variance and value realization,Monthly,SQL mart,Airtable + SIS export,P1,Exports cleanly for leadership readout,Backlog
REQ-0027,SITE-009,Partnerships,Launch readiness and partner reporting,Biweekly,Power BI,Airtable + SIS export,P2,"Filters by market, program model, and school level",Backlog
REQ-0028,SITE-010,Finance partners,Budget variance and value realization,Biweekly,SQL mart,Airtable + SIS export,P2,Matches source totals within 1 percent,Backlog
REQ-0029,SITE-010,Partnerships,Launch readiness and partner reporting,Monthly,Power BI,Airtable + SIS export,P1,"Includes owner, due date, and exception reason",In build
REQ-0030,SITE-010,Site coordinators,Daily attendance exception list,Biweekly,Excel,Airtable + SIS export,P2,"Includes owner, due date, and exception reason",Accepted
REQ-0031,SITE-011,Site coordinators,Daily attendance exception list,Monthly,Excel,PowerSchool export,P1,"Filters by market, program model, and school level",Backlog
REQ-0032,SITE-011,Executive leadership,Monthly value scorecard,Monthly,Power BI,PowerSchool export,P0,"Includes owner, due date, and exception reason",Backlog
REQ-0033,SITE-011,Finance partners,Budget variance and value realization,Monthly,SQL mart,PowerSchool export,P1,Matches source totals within 1 percent,Accepted
REQ-0034,SITE-012,Program directors,Weekly site action queue,Weekly,Tableau,PowerSchool export,P1,"Filters by market, program model, and school level",Accepted
REQ-0035,SITE-012,Executive leadership,Monthly value scorecard,Biweekly,Power BI,PowerSchool export,P0,Matches source totals within 1 percent,Backlog
REQ-0036,SITE-012,Partnerships,Launch readiness and partner reporting,Daily,Power BI,PowerSchool export,P2,Exports cleanly for leadership readout,Backlog
REQ-0037,SITE-013,Program directors,Weekly site action queue,Weekly,Tableau,PowerSchool export,P1,"Includes owner, due date, and exception reason",In review
