check_id,site_id,source_system,sql_check_name,issue_theme,severity,records_checked,defect_count,defect_rate,owner_team,status
DQ-0001,SITE-001,Attendance,attendance_day_completeness,missing attendance dates,Medium,2335,131,0.0561,Analytics,Resolved
DQ-0002,SITE-001,Enrollment,duplicate_student_program_enrollment,duplicate participant rows,Medium,4265,223,0.0523,Analytics,Resolved
DQ-0003,SITE-001,Assessment,assessment_score_valid_range,invalid pre/post score range,Medium,710,45,0.0634,Site Leadership,Resolved
DQ-0004,SITE-001,Staffing,staff_roster_alignment,unmatched staff schedule rows,Medium,3184,139,0.0437,Site Leadership,Open
DQ-0005,SITE-001,Finance,budget_program_code_match,program code mismatch,Medium,1093,79,0.0723,Analytics,Resolved
DQ-0006,SITE-001,BI requests,stakeholder_request_sla,stale requirement status,Medium,4050,174,0.043,Site Leadership,Open
DQ-0007,SITE-002,Attendance,attendance_day_completeness,missing attendance dates,Low,1678,8,0.0048,Site Leadership,Resolved
DQ-0008,SITE-002,Enrollment,duplicate_student_program_enrollment,duplicate participant rows,Low,863,1,0.0012,Program Ops,Open
DQ-0009,SITE-002,Assessment,assessment_score_valid_range,invalid pre/post score range,Low,614,16,0.0261,Program Ops,In progress
DQ-0010,SITE-002,Staffing,staff_roster_alignment,unmatched staff schedule rows,Low,831,11,0.0132,Program Ops,In progress
DQ-0011,SITE-002,Finance,budget_program_code_match,program code mismatch,Medium,1137,89,0.0783,Finance Ops,Open
DQ-0012,SITE-002,BI requests,stakeholder_request_sla,stale requirement status,Medium,4964,395,0.0796,Analytics,Resolved
DQ-0013,SITE-003,Attendance,attendance_day_completeness,missing attendance dates,Medium,2542,156,0.0614,Finance Ops,Open
DQ-0014,SITE-003,Enrollment,duplicate_student_program_enrollment,duplicate participant rows,Medium,565,26,0.046,Analytics,Resolved
DQ-0015,SITE-003,Assessment,assessment_score_valid_range,invalid pre/post score range,Medium,4579,333,0.0727,Analytics,Open
DQ-0016,SITE-003,Staffing,staff_roster_alignment,unmatched staff schedule rows,Medium,4888,234,0.0479,Analytics,Open
DQ-0017,SITE-003,Finance,budget_program_code_match,program code mismatch,Low,3341,6,0.0018,Program Ops,Open
DQ-0018,SITE-003,BI requests,stakeholder_request_sla,stale requirement status,Low,4792,31,0.0065,Site Leadership,Open
DQ-0019,SITE-004,Attendance,attendance_day_completeness,missing attendance dates,Low,1385,38,0.0274,Analytics,Open
DQ-0020,SITE-004,Enrollment,duplicate_student_program_enrollment,duplicate participant rows,High,5053,455,0.09,Program Ops,Open
DQ-0021,SITE-004,Assessment,assessment_score_valid_range,invalid pre/post score range,Medium,903,44,0.0487,Finance Ops,Open
DQ-0022,SITE-004,Staffing,staff_roster_alignment,unmatched staff schedule rows,Medium,1492,86,0.0576,Finance Ops,Open
DQ-0023,SITE-004,Finance,budget_program_code_match,program code mismatch,Medium,4404,318,0.0722,Finance Ops,Resolved
DQ-0024,SITE-004,BI requests,stakeholder_request_sla,stale requirement status,High,4762,447,0.0939,Program Ops,Resolved
DQ-0025,SITE-005,Attendance,attendance_day_completeness,missing attendance dates,Medium,836,58,0.0694,Program Ops,Open
DQ-0026,SITE-005,Enrollment,duplicate_student_program_enrollment,duplicate participant rows,Low,579,8,0.0138,Finance Ops,Open
DQ-0027,SITE-005,Assessment,assessment_score_valid_range,invalid pre/post score range,Low,4072,84,0.0206,Analytics,Resolved
DQ-0028,SITE-005,Staffing,staff_roster_alignment,unmatched staff schedule rows,Medium,3597,168,0.0467,Analytics,Open
DQ-0029,SITE-005,Finance,budget_program_code_match,program code mismatch,Medium,3436,146,0.0425,Site Leadership,In progress
DQ-0030,SITE-005,BI requests,stakeholder_request_sla,stale requirement status,Low,885,7,0.0079,Finance Ops,Resolved
DQ-0031,SITE-006,Attendance,attendance_day_completeness,missing attendance dates,Medium,1643,62,0.0377,Analytics,Open
DQ-0032,SITE-006,Enrollment,duplicate_student_program_enrollment,duplicate participant rows,Low,2831,71,0.0251,Analytics,In progress
DQ-0033,SITE-006,Assessment,assessment_score_valid_range,invalid pre/post score range,Medium,4315,278,0.0644,Site Leadership,Open
DQ-0034,SITE-006,Staffing,staff_roster_alignment,unmatched staff schedule rows,Low,1058,2,0.0019,Site Leadership,In progress
DQ-0035,SITE-006,Finance,budget_program_code_match,program code mismatch,Low,2541,5,0.002,Finance Ops,Open
DQ-0036,SITE-006,BI requests,stakeholder_request_sla,stale requirement status,Low,4703,154,0.0327,Site Leadership,Resolved
DQ-0037,SITE-007,Attendance,attendance_day_completeness,missing attendance dates,Medium,2169,171,0.0788,Analytics,Open
DQ-0038,SITE-007,Enrollment,duplicate_student_program_enrollment,duplicate participant rows,Medium,2008,138,0.0687,Analytics,Open
DQ-0039,SITE-007,Assessment,assessment_score_valid_range,invalid pre/post score range,Medium,4293,190,0.0443,Program Ops,Open
DQ-0040,SITE-007,Staffing,staff_roster_alignment,unmatched staff schedule rows,Medium,3552,204,0.0574,Analytics,In progress
DQ-0041,SITE-007,Finance,budget_program_code_match,program code mismatch,Low,2224,4,0.0018,Site Leadership,In progress
DQ-0042,SITE-007,BI requests,stakeholder_request_sla,stale requirement status,Low,4406,145,0.0329,Analytics,Open
DQ-0043,SITE-008,Attendance,attendance_day_completeness,missing attendance dates,Low,1117,20,0.0179,Analytics,Resolved
DQ-0044,SITE-008,Enrollment,duplicate_student_program_enrollment,duplicate participant rows,Medium,1592,76,0.0477,Site Leadership,In progress
