initiative_id,site_id,workstream,initiative_name,target_metric,expected_value_usd,expected_outcome,effort_hours,owner_team,project_methodology,phase,status,start_week,due_week
BVT-001-1,SITE-001,Family Outreach,Academic Enrichment family outreach plan,family_touchpoints,53691,family engagement lift,217,Program Ops,RACI tracker,Sustain,Ready for review,2026-W11,2026-W21
BVT-001-2,SITE-001,Sports Wellness Expansion,Academic Enrichment sports wellness expansion plan,sports_wellness_participation_rate,176492,wellness participation lift,198,Finance,RACI tracker,Scale,At risk,2026-W09,2026-W17
BVT-001-3,SITE-001,Reporting Automation,Academic Enrichment reporting automation plan,data_completeness_rate,142850,manual reporting hours removed,222,Program Ops,DMAIC improvement cycle,Scale,At risk,2026-W11,2026-W21
BVT-002-1,SITE-002,Sports Wellness Expansion,Music and Arts sports wellness expansion plan,sports_wellness_participation_rate,136530,wellness participation lift,220,Finance,Agile sprint board,Scale,At risk,2026-W09,2026-W21
BVT-002-2,SITE-002,Family Outreach,Music and Arts family outreach plan,family_touchpoints,145244,family engagement lift,139,Site Leadership,Milestone waterfall,Discovery,On track,2026-W09,2026-W16
BVT-002-3,SITE-002,Attendance Recovery,Music and Arts attendance recovery plan,attendance_rate,145343,weekly attendance lift,381,Finance,Milestone waterfall,Pilot,On track,2026-W09,2026-W18
BVT-003-1,SITE-003,Staffing Model,STEM and Coding staffing model plan,staff_coverage_rate,70981,coverage gap reduction,363,Partnerships,RACI tracker,Scale,On track,2026-W12,2026-W18
BVT-003-2,SITE-003,Sports Wellness Expansion,STEM and Coding sports wellness expansion plan,sports_wellness_participation_rate,180461,wellness participation lift,167,Program Ops,Milestone waterfall,Discovery,Ready for review,2026-W09,2026-W18
BVT-003-3,SITE-003,Attendance Recovery,STEM and Coding attendance recovery plan,attendance_rate,132719,weekly attendance lift,322,Analytics,DMAIC improvement cycle,Design,Blocked,2026-W09,2026-W16
BVT-004-1,SITE-004,Program Mix Optimization,Academic Enrichment program mix optimization plan,engagement_rate,188158,student engagement lift,168,Analytics,DMAIC improvement cycle,Scale,At risk,2026-W11,2026-W20
BVT-004-2,SITE-004,Reporting Automation,Academic Enrichment reporting automation plan,data_completeness_rate,73908,manual reporting hours removed,315,Program Ops,Milestone waterfall,Sustain,Blocked,2026-W09,2026-W20
