event_id,event_date,entity_id,event_type,severity,estimated_impact
EV0001,2026-01-01,PRO009,exception,Medium,38271
EV0002,2026-01-02,PRO018,exception,Medium,16252
EV0003,2026-01-03,PRO004,exception,High,51154
EV0004,2026-01-04,PRO008,exception,High,34468
EV0005,2026-01-05,PRO023,exception,High,25708
EV0006,2026-01-06,PRO010,handoff,Medium,37036
EV0007,2026-01-07,PRO022,experiment,Medium,24737
EV0008,2026-01-08,PRO030,experiment,Medium,43297
EV0009,2026-01-09,PRO023,launch,Medium,15693
EV0010,2026-01-10,PRO020,exception,High,28386
EV0011,2026-01-11,PRO009,stakeholder_request,Low,12399
EV0012,2026-01-12,PRO015,exception,High,2194
EV0013,2026-01-13,PRO031,handoff,Medium,13997
EV0014,2026-01-14,PRO010,experiment,Medium,40044
EV0015,2026-01-15,PRO018,stakeholder_request,High,50111
EV0016,2026-01-16,PRO011,qa_check,Low,7594
EV0017,2026-01-17,PRO011,qa_check,High,23225
EV0018,2026-01-18,PRO005,experiment,Medium,9948
EV0019,2026-01-19,PRO002,experiment,High,17788
EV0020,2026-01-20,PRO035,qa_check,Medium,19993
EV0021,2026-01-21,PRO006,experiment,Medium,46031
EV0022,2026-01-22,PRO012,launch,Low,24955
EV0023,2026-01-23,PRO028,stakeholder_request,Medium,3004
EV0024,2026-01-24,PRO028,qa_check,High,21665
EV0025,2026-01-25,PRO021,stakeholder_request,Medium,36836
EV0026,2026-01-26,PRO013,qa_check,Low,15058
EV0027,2026-01-27,PRO013,launch,Low,46709
EV0028,2026-01-28,PRO031,exception,Medium,19877
EV0029,2026-01-29,PRO019,experiment,High,8052
EV0030,2026-01-30,PRO032,qa_check,Medium,14106
EV0031,2026-01-31,PRO010,experiment,High,43453
EV0032,2026-02-01,PRO030,exception,Medium,50112
EV0033,2026-02-02,PRO024,qa_check,Low,33295
EV0034,2026-02-03,PRO019,stakeholder_request,Medium,8519
EV0035,2026-02-04,PRO018,qa_check,Low,2101
EV0036,2026-02-05,PRO028,stakeholder_request,Medium,24785
EV0037,2026-02-06,PRO035,launch,Low,44608
EV0038,2026-02-07,PRO024,qa_check,Low,43512
EV0039,2026-02-08,PRO011,handoff,Medium,49053
EV0040,2026-02-09,PRO029,exception,High,45464
EV0041,2026-02-10,PRO028,launch,Medium,41678
EV0042,2026-02-11,PRO007,stakeholder_request,Medium,20310
EV0043,2026-02-12,PRO006,launch,High,19461
EV0044,2026-02-13,PRO003,exception,High,45586
EV0045,2026-02-14,PRO015,experiment,High,43554
EV0046,2026-02-15,PRO018,launch,Low,8369
EV0047,2026-02-16,PRO020,exception,Low,26950
EV0048,2026-02-17,PRO022,exception,Medium,51180
EV0049,2026-02-18,PRO004,launch,Medium,40366
EV0050,2026-02-19,PRO003,qa_check,Low,42593
EV0051,2026-02-20,PRO023,handoff,High,3338
EV0052,2026-02-21,PRO034,experiment,Low,29580
EV0053,2026-02-22,PRO027,launch,Low,48045
EV0054,2026-02-23,PRO018,handoff,Medium,23554
EV0055,2026-02-24,PRO008,experiment,High,10849
EV0056,2026-02-25,PRO001,launch,Low,47149
EV0057,2026-02-26,PRO027,stakeholder_request,Medium,8543
EV0058,2026-02-27,PRO004,qa_check,Medium,29709
EV0059,2026-02-28,PRO019,exception,Medium,39337
EV0060,2026-03-01,PRO003,experiment,High,14995
EV0061,2026-03-02,PRO029,handoff,Medium,50546
EV0062,2026-03-03,PRO034,qa_check,Medium,11620
EV0063,2026-03-04,PRO035,stakeholder_request,Low,9505
EV0064,2026-03-05,PRO014,stakeholder_request,High,1191
EV0065,2026-03-06,PRO027,launch,Medium,29199
EV0066,2026-03-07,PRO016,handoff,Medium,1175
EV0067,2026-03-08,PRO035,experiment,High,33619
EV0068,2026-03-09,PRO002,exception,Medium,27991
EV0069,2026-03-10,PRO013,exception,Medium,44322
EV0070,2026-03-11,PRO012,experiment,High,11803
EV0071,2026-03-12,PRO031,experiment,High,6731
EV0072,2026-03-13,PRO030,stakeholder_request,High,23553
EV0073,2026-03-14,PRO005,launch,High,31629
EV0074,2026-03-15,PRO014,handoff,High,41694
EV0075,2026-03-16,PRO020,launch,High,21896
EV0076,2026-03-17,PRO036,launch,Low,31155
EV0077,2026-03-18,PRO006,exception,High,23446
EV0078,2026-03-19,PRO012,stakeholder_request,Medium,25518
EV0079,2026-03-20,PRO016,handoff,High,12893
EV0080,2026-03-21,PRO005,qa_check,Medium,6414
EV0081,2026-03-22,PRO032,launch,High,48932
EV0082,2026-03-23,PRO019,experiment,High,43643
EV0083,2026-03-24,PRO009,launch,High,14939
EV0084,2026-03-25,PRO032,exception,Low,26506
EV0085,2026-03-26,PRO033,qa_check,Medium,34294
EV0086,2026-03-27,PRO031,handoff,Low,16357
EV0087,2026-03-28,PRO027,experiment,High,13413
EV0088,2026-03-29,PRO030,exception,High,35882
EV0089,2026-03-30,PRO033,handoff,Low,12011
EV0090,2026-03-31,PRO020,stakeholder_request,Low,16082
EV0091,2026-04-01,PRO021,qa_check,High,50071
EV0092,2026-04-02,PRO011,qa_check,Medium,3991
EV0093,2026-04-03,PRO010,stakeholder_request,Low,21047
EV0094,2026-04-04,PRO036,exception,Low,13096
EV0095,2026-04-05,PRO007,handoff,High,20267
EV0096,2026-04-06,PRO005,launch,Low,31494
EV0097,2026-04-07,PRO004,launch,High,7074
